id,co2,pm1,pm25,pm10,temp,humidity,lux,pressure,timestamp
1,907,35,72,91,28,56,930,1009,2026-03-14 10:49:55
2,1857,16,27,29,36.27,44.24,104.60,1008.57,2026-03-14 10:52:08
3,2156,16,27,29,36.27,44.24,105.06,1008.57,2026-03-14 10:52:14
4,2306,16,27,29,36.27,44.24,104.14,1008.54,2026-03-14 10:52:21
5,1932,16,27,29,36.27,44.24,102.76,1008.58,2026-03-14 10:52:27
6,2041,17,28,30,36.28,44.31,103.68,1008.51,2026-03-14 10:52:33
7,2226,17,28,30,36.28,44.41,105.06,1008.55,2026-03-14 10:52:39
8,1789,17,28,30,36.28,44.31,105.52,1008.55,2026-03-14 10:52:46
9,1691,16,27,29,36.29,44.31,104.60,1008.53,2026-03-14 10:52:52
10,1860,16,27,29,36.27,44.43,105.52,1008.50,2026-03-14 10:52:58
11,1801,16,27,29,36.25,44.43,105.52,1008.56,2026-03-14 10:53:04
12,1646,15,26,28,36.23,44.43,105.52,1008.56,2026-03-14 10:53:10
13,1843,15,26,28,36.27,44.43,125.80,1008.52,2026-03-14 10:53:17
14,1742,15,26,28,36.39,44.51,610.56,1008.51,2026-03-14 10:53:23
15,1414,15,26,28,36.43,44.51,626.69,1008.49,2026-03-14 10:53:29
16,1417,15,26,28,36.43,44.41,620.24,1008.49,2026-03-14 10:53:35
17,1567,15,26,28,36.44,44.41,633.60,1008.54,2026-03-14 10:53:41
18,1432,15,26,28,36.44,44.41,651.11,1008.51,2026-03-14 10:53:48
19,1298,15,26,28,36.54,44.29,114.28,1008.55,2026-03-14 10:53:54
20,1392,15,26,28,36.47,44.21,105.06,1008.50,2026-03-14 10:54:00
21,1485,15,26,28,36.37,44.31,104.14,1008.53,2026-03-14 10:54:06
22,1533,15,26,28,36.22,44.53,103.68,1008.54,2026-03-14 10:54:13
23,1814,15,26,28,36.16,44.82,105.52,1008.56,2026-03-14 10:54:19
24,2185,15,26,28,36.15,44.92,103.22,1008.54,2026-03-14 10:54:25
25,2060,15,26,28,36.16,44.82,104.14,1008.55,2026-03-14 10:54:31
26,1858,15,26,28,36.13,44.92,104.60,1008.59,2026-03-14 10:54:38
27,2016,15,26,28,36.09,44.92,105.06,1008.59,2026-03-14 10:54:44
28,1917,15,26,28,36.12,44.92,104.14,1008.63,2026-03-14 10:54:50
29,1670,15,26,28,36.09,44.92,103.68,1008.58,2026-03-14 10:54:56
30,1911,15,26,28,36.07,45.21,105.06,1008.60,2026-03-14 10:55:02
31,2137,15,26,28,36.12,45.21,103.68,1008.56,2026-03-14 10:55:09
32,2430,19,29,34,36.20,45.60,100.92,1008.56,2026-03-14 10:55:34
33,2263,18,28,33,36.20,45.60,101.38,1008.56,2026-03-14 10:55:37
34,2255,18,28,33,36.22,45.60,101.38,1008.57,2026-03-14 10:55:41
35,2406,18,29,34,36.25,45.60,101.84,1008.59,2026-03-14 10:55:44
36,2632,18,29,34,36.25,45.50,101.84,1008.58,2026-03-14 10:55:47
37,2746,18,29,34,36.23,45.50,101.84,1008.59,2026-03-14 16:25:49
38,2919,18,29,34,36.23,45.50,101.84,1008.58,2026-03-14 16:25:52
39,3059,18,29,34,36.25,45.50,101.38,1008.56,2026-03-14 16:25:56
40,2969,18,29,34,36.23,45.50,101.84,1008.56,2026-03-14 16:25:59
41,4719,19,32,36,36.12,45.40,94.00,1008.59,2026-03-14 16:27:55
42,4752,19,32,36,36.15,45.40,93.54,1008.59,2026-03-14 16:27:58
43,4191,19,32,36,36.13,45.40,96.31,1008.60,2026-03-14 16:28:01
44,3694,19,32,36,36.13,45.40,96.77,1008.57,2026-03-14 16:28:04
45,3358,19,32,36,36.12,45.40,97.23,1008.59,2026-03-14 16:28:07
46,3315,19,32,36,36.07,45.40,95.85,1008.59,2026-03-14 16:28:10
47,3444,19,32,36,36.08,45.40,96.31,1008.59,2026-03-14 16:28:13
48,3432,19,32,36,36.08,45.40,96.77,1008.54,2026-03-14 16:28:16
49,3394,19,32,36,36.07,45.50,97.69,1008.59,2026-03-14 16:28:20
50,3033,19,32,36,36.09,45.50,98.15,1008.56,2026-03-14 16:28:23
51,2630,19,32,36,36.07,45.60,92.62,1008.56,2026-03-14 16:28:26
52,2491,19,32,36,36.12,45.60,92.62,1008.55,2026-03-14 16:28:29
53,2562,19,32,36,36.12,45.60,93.08,1008.55,2026-03-14 16:28:32
54,2789,19,32,36,36.12,45.69,93.08,1008.56,2026-03-14 16:28:35
55,2969,19,32,36,36.08,45.50,96.31,1008.54,2026-03-14 16:28:38
56,3007,19,32,36,36.07,45.50,95.39,1008.58,2026-03-14 16:28:42
57,2884,19,32,36,36.07,45.50,94.92,1008.58,2026-03-14 16:28:45
58,2618,19,32,36,36.07,45.50,94.92,1008.53,2026-03-14 16:28:48
59,2398,19,32,36,36.08,45.60,96.31,1008.55,2026-03-14 16:28:51
60,2419,19,32,36,36.12,45.60,106.91,1008.53,2026-03-14 16:28:54
61,2635,19,32,36,36.09,45.60,106.44,1008.54,2026-03-14 16:28:57
62,2745,19,32,36,36.19,45.60,528.54,1008.57,2026-03-14 16:29:00
63,2793,19,32,36,36.27,45.69,3754.60,1008.52,2026-03-14 16:29:04
64,2655,19,32,36,36.31,45.67,127.64,1008.52,2026-03-14 16:29:07
65,2429,19,32,36,36.41,45.28,97.69,1008.50,2026-03-14 16:29:10
66,2154,19,32,36,36.41,45.09,96.31,1008.55,2026-03-14 16:29:13
67,2122,19,32,36,36.39,45.09,96.31,1008.53,2026-03-14 16:29:16
68,2201,19,32,36,36.39,45.09,96.77,1008.53,2026-03-14 16:29:19
69,2382,19,32,36,36.39,45.09,96.77,1008.55,2026-03-14 16:29:22
70,2663,18,29,31,36.39,45.09,97.69,1008.60,2026-03-14 16:29:26
71,2757,18,29,31,36.34,45.09,97.23,1008.58,2026-03-14 16:29:29
72,2606,18,29,31,36.34,45.09,97.23,1008.55,2026-03-14 16:29:32
73,2536,18,29,31,36.34,45.09,97.23,1008.55,2026-03-14 16:29:35
74,2586,18,29,31,36.34,45.18,96.77,1008.59,2026-03-14 16:29:38
75,2874,18,29,31,36.32,45.28,96.31,1008.59,2026-03-14 16:29:41
76,3063,18,29,31,36.31,45.28,95.85,1008.59,2026-03-14 16:29:45
77,2969,18,29,31,36.31,45.28,95.85,1008.61,2026-03-14 16:29:48
78,2685,18,29,31,36.31,45.28,96.31,1008.62,2026-03-14 16:29:51
79,2503,18,29,31,36.29,45.28,96.77,1008.63,2026-03-14 16:29:54
80,2510,18,29,31,36.31,45.38,94.46,1008.58,2026-03-14 16:29:57
81,2663,18,29,31,36.29,45.38,95.39,1008.54,2026-03-14 16:30:00
82,2828,18,29,31,36.29,45.38,95.39,1008.54,2026-03-14 16:30:04
83,2989,18,29,31,36.29,45.48,96.31,1008.54,2026-03-14 16:30:07
84,2950,18,29,31,36.29,45.48,98.15,1008.58,2026-03-14 16:30:10
85,2994,18,29,31,36.29,45.48,95.85,1008.62,2026-03-14 16:30:13
86,3134,18,29,31,36.28,45.48,96.31,1008.61,2026-03-14 16:30:16
87,3376,18,29,31,36.27,45.60,96.77,1008.58,2026-03-14 16:30:20
88,3565,18,29,31,36.19,45.79,96.77,1008.61,2026-03-14 16:30:23
89,3458,18,29,31,36.20,45.79,96.77,1008.61,2026-03-14 16:30:26
90,3353,18,29,31,36.22,45.79,96.77,1008.60,2026-03-14 16:30:29
91,3170,18,29,31,36.19,45.79,97.69,1008.58,2026-03-14 16:30:32
92,2932,18,29,31,36.15,45.98,95.85,1008.59,2026-03-14 16:30:35
93,2846,18,29,31,36.16,45.98,96.77,1008.59,2026-03-14 16:30:39
94,3188,18,29,31,36.15,46.08,33.64,1008.60,2026-03-14 16:30:42
95,3510,18,29,31,36.27,46.28,3.69,1008.62,2026-03-14 16:30:45
96,3752,18,29,31,36.28,46.15,5.07,1008.62,2026-03-14 16:30:48
97,3933,18,29,31,36.27,46.08,64.97,1008.62,2026-03-14 16:30:52
98,3857,18,29,31,36.35,46.06,14.28,1008.58,2026-03-14 16:30:55
99,3468,18,29,31,36.37,45.97,4.61,1008.61,2026-03-14 16:30:58
100,3225,18,29,31,36.38,45.97,4.61,1008.61,2026-03-14 16:31:01
101,3350,18,29,31,36.37,45.97,4.61,1008.61,2026-03-14 16:31:04
102,3480,18,29,31,36.34,45.87,4.61,1008.60,2026-03-14 16:31:07
103,3611,18,29,31,36.38,45.87,4.61,1008.55,2026-03-14 16:31:10
104,3648,18,29,31,36.38,45.87,4.61,1008.58,2026-03-14 16:31:14
105,3578,18,29,31,36.44,45.77,67.28,1008.57,2026-03-14 16:31:17
106,3631,18,29,31,36.50,45.67,66.82,1008.57,2026-03-14 16:31:20
107,3725,18,29,31,36.49,45.67,68.20,1008.58,2026-03-14 16:31:23
108,4040,18,29,31,36.49,45.57,67.74,1008.58,2026-03-14 16:31:26
109,4372,18,29,31,36.56,45.45,66.82,1008.57,2026-03-14 16:31:29
110,4474,18,29,31,36.56,45.45,66.36,1008.60,2026-03-14 16:31:32
111,4421,18,29,31,36.56,45.55,66.36,1008.60,2026-03-14 16:31:36
112,3790,18,29,31,36.59,45.45,66.82,1008.55,2026-03-14 16:31:39
113,3404,18,29,31,36.72,45.26,65.43,1008.60,2026-03-14 16:31:42
114,3326,18,29,31,36.72,45.26,65.89,1008.60,2026-03-14 16:31:45
115,3442,18,29,31,36.72,45.17,65.89,1008.60,2026-03-14 16:31:48
116,3536,18,29,31,36.72,45.17,66.36,1008.57,2026-03-14 16:31:51
117,3598,18,29,31,36.73,45.17,64.97,1008.57,2026-03-14 16:31:54
118,3556,18,29,31,36.72,45.26,67.28,1008.60,2026-03-14 16:31:57
119,3335,18,29,31,36.73,45.26,67.28,1008.60,2026-03-14 16:32:01
120,3070,18,29,31,36.72,45.17,67.28,1008.61,2026-03-14 16:32:04
121,3097,18,29,31,36.83,45.04,66.82,1008.62,2026-03-14 16:32:07
122,3272,18,29,31,36.84,45.04,66.36,1008.63,2026-03-14 16:32:10
123,3451,18,29,31,36.84,45.04,67.28,1008.62,2026-03-14 16:32:13
124,3493,18,29,31,36.84,45.04,67.28,1008.60,2026-03-14 16:32:16
125,3503,18,29,31,36.81,45.04,66.82,1008.58,2026-03-14 16:32:19
126,3411,18,29,31,36.83,45.04,66.36,1008.59,2026-03-14 16:32:23
127,3212,18,29,31,36.88,44.95,66.82,1008.57,2026-03-14 16:32:26
128,3304,18,29,31,36.91,44.95,66.36,1008.60,2026-03-14 16:32:29
129,3465,18,29,31,36.87,44.95,66.82,1008.58,2026-03-14 16:32:32
130,3645,18,29,31,36.87,44.95,67.28,1008.60,2026-03-14 16:32:35
131,3433,18,29,31,36.91,44.95,66.82,1008.62,2026-03-14 16:32:38
132,3199,18,29,31,36.93,44.95,66.82,1008.58,2026-03-14 16:32:41
133,3176,18,29,31,36.94,44.95,66.36,1008.58,2026-03-14 16:32:45
